"recruit_type","year","ranking","name","school","committed_to","position","height","weight","stars","rating","city","state_province","county_fips","county_name","position_group","recruit_lon","recruit_lat","school_lon","school_lat","dist_mi","metro_area","first_name_cleaned","success","last_year","failure"
"HighSchool",2002,507,"Grant Brigham","Mountain Brook","Vanderbilt","WR",73,170,3,0.8333,"Birmingham","AL",1073,"Jefferson","WR",-86.8103567,33.5185892,-86.7816016,36.1626638,182.938942049469,"Birmingham-Hoover-Talladega, AL","grant",0,NA,0
"HighSchool",2002,679,"Antoine Morgan","Marlboro County","Vanderbilt","WDE",77,210,3,0.8,"Bennettsville","SC",45069,"Marlboro","DL",-79.6847814,34.6173803,-86.7816016,36.1626638,414.19423349819,"Rural, SC","antoine",0,NA,0
"HighSchool",2002,720,"Richard Freeman","Brentwood","Vanderbilt","WDE",77,230,3,0.8,"Brentwood","TN",47187,"Williamson","DL",-86.7827772,36.0331164,-86.7816016,36.1626638,8.96304429465517,"Nashville-Davidson--Murfreesboro, TN","richard",0,NA,0
"HighSchool",2002,830,"Steven Brent","Georgetown","Vanderbilt","OG",76,270,3,0.8,"Georgetown","TX",48491,"Williamson","OL",-97.6779842,30.6332618,-86.7816016,36.1626638,735.798456188423,"Austin-Round Rock-Georgetown, TX","steven",0,NA,0
"HighSchool",2002,842,"Steven Bright","Riverside","Vanderbilt","DUAL",76,205,3,0.8,"Greer","SC",45045,"Greenville","QB",-82.2270568,34.9387279,-86.7816016,36.1626638,269.961874470088,"Greenville-Spartanburg-Anderson, SC","steven",0,NA,0
"HighSchool",2002,1520,"Brad Anderson","Urbana","Vanderbilt","FB",72,225,2,0.7667,"Ijamsville","MD",24021,"Frederick","RB",-77.3230553,39.3607976,-86.7816016,36.1626638,562.295812076324,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA","brad",0,NA,0
"HighSchool",2002,1553,"Andrew Pace","Mountain Brook","Vanderbilt","S",71,185,2,0.7667,"Birmingham","AL",1073,"Jefferson","DB",-86.8103567,33.5185892,-86.7816016,36.1626638,182.938942049469,"Birmingham-Hoover-Talladega, AL","andrew",0,NA,0
"HighSchool",2002,1555,"Ron Bullock","Brother Martin","Vanderbilt","RB",70,215,2,0.7667,"New Orleans","LA",22071,"Orleans","RB",-90.0715323,29.9510658,-86.7816016,36.1626638,470.103203314899,"New Orleans-Metairie-Hammond, LA-MS","ron",0,NA,0
"HighSchool",2002,1557,"Adam Dossett","Parklane Academy","Vanderbilt","OG",76,260,2,0.7667,"Mccomb","MS",28113,"Pike","OL",-90.4531535,31.2437872,-86.7816016,36.1626638,400.503650917133,"Rural, MS","adam",0,NA,0
"HighSchool",2002,1564,"Kevin Joyce","Lake Highland Prep","Vanderbilt","OLB",75,205,2,0.7667,"Orlando","FL",12095,"Orange","LB",-81.3792365,28.5383355,-86.7816016,36.1626638,614.494497702235,"Orlando-Lakeland-Deltona, FL","kevin",0,NA,0
