"name","first_name_cleaned","first_letter_cleaned","last_name_cleaned","first_year","snaps_failure"
"Adam Butler","adam","ada","butler",2014,0
"Alex Stump","alex","ale","stump",2018,1
"Alim Muhammad","alim","ali","muhammad",2018,1
"Allan George","allan","all","george",2018,0
"Allan Walters","allan","all","walters",2019,1
"Alston Orji","alston","als","orji",2018,1
"Amir Abdur-Rahman","amir","ami","abdurrahman",2018,0
"Andre Mintze","andre","and","mintze",2017,0
"Andrew Bridges","andrew","and","bridges",2014,1
"Andrew Jelks","andrew","and","jelks",2014,0
"Andrew Rector","andrew","and","rector",2015,1
"Andrew Williamson","andrew","and","williamson",2014,0
"Anfernee Orji","anfernee","anf","orji",2019,0
"Arnold Tarpley III","arnold","arn","tarpley",2014,0
"Austin Quillen","austin","aus","quillen",2017,1
"Baffour Osei","baffour","baf","osei",2017,1
"Bailey Granier","bailey","bai","granier",2015,1
"Bailey McElwain","bailey","bai","mcelwain",2016,0
"Barrett Gouger","barrett","bar","gouger",2014,0
"Barron Dixon","barron","bar","dixon",2014,1
"Ben Bresnahan","ben","ben","bresnahan",2019,0
"Ben Cox","ben","ben","cox",2020,1
"BJ Anderson","bj","bj","anderson",2018,0
"Blake Fromang","blake","bla","fromang",2014,0
"Braden Kopp","braden","bra","kopp",2018,1
"Bradley Ashmore","bradley","bra","ashmore",2020,0
"Brandon Maddox","brandon","bra","maddox",2019,1
"Brayden Bapst","brayden","bra","bapst",2020,1
"Brayden DeVault-Smith","brayden","bra","devaultsmith",2018,1
"Brendon Harris","brendon","bre","harris",2019,0
"Brian Kimbrow","brian","bri","kimbrow",2014,1
"Bruno Reagan","bruno","bru","reagan",2015,0
"Bryce Bailey","bryce","bry","bailey",2018,1
"Bryce Lewis","bryce","bry","lewis",2015,1
"C.J. Bolar","cj","cj","bolar",2018,0
"C.J. Duncan","cj","cj","duncan",2014,0
"Caleb Azubike","caleb","cal","azubike",2014,0
"Caleb Peart","caleb","cal","peart",2016,1
"Caleb Scott","caleb","cal","scott",2014,0
"Cam Johnson","cam","cam","johnson",2018,0
"Cam Watkins","cam","cam","watkins",2019,1
"Camden Coleman","camden","cam","coleman",2020,1
"Cameron Robinson","cameron","cam","robinson",2019,1
"Cameron Tidd","cameron","cam","tidd",2017,0
"Casey Hughes","casey","cas","hughes",2014,1
"Chandler Dorrell","chandler","cha","dorrell",2014,1
"Charles Wright","charles","cha","wright",2015,0
"Chase Lloyd","chase","cha","lloyd",2020,1
"Chris Pierce Jr.","chris","chr","pierce",2017,0
