"metro_area","player_name","pos","year_min","hs_name","hs_city","hs_state","college","dist_mi","nfl_team"
"Huntsville-Decatur, AL","Tae Hayes","DB",2019,"Decatur","Decatur","AL","Appalachian State",319.363750554819,"JAX,MIA,MIN"
"Huntsville-Decatur, AL","Jerraud Powers","DB",2009,"Decatur","Decatur","AL","Auburn",162.988702677827,"IND,ARI,BAL"
"Huntsville-Decatur, AL","Rolando McClain","LB",2010,"Decatur","Decatur","AL","Alabama",102.278023629215,"OAK,DAL"
"Huntsville-Decatur, AL","Taye Biddle","WR",2006,"Decatur","Decatur","AL","Ole Miss",145.519166288347,"CAR"
"Huntsville-Decatur, AL","Amobi Okoye","DT",2007,"Robert E. Lee","Huntsville","AL","Louisville",247.99829112467,"HOU,CHI,DAL"
"Huntsville-Decatur, AL","Don Jones","SS",2013,"Hazlewood","Town Creek","AL","Arkansas State",202.881926776555,"MIA,NWE,CLE,NOR,HOU"
"Huntsville-Decatur, AL","Kenneth Darby","RB",2007,"S.R. Butler","Huntsville","AL","Alabama",119.36463820469,"TAM,STL"
"Huntsville-Decatur, AL","Ramzee Robinson","DB",2007,"S.R. Butler","Huntsville","AL","Alabama",119.36463820469,"DET,CLE,PHI"
"Huntsville-Decatur, AL","Trenton Scott","T",2018,"Lee","Huntsville","AL","gramblingst",NA,"LAC,CAR"
"Huntsville-Decatur, AL","Chester Rogers","WR",2016,"Lee","Huntsville","AL","gramblingst",NA,"IND"
"Huntsville-Decatur, AL","Darian Stewart","DB",2010,"Lee","Huntsville","AL","South Carolina",320.980698216686,"STL,BAL,DEN,TAM"
"Huntsville-Decatur, AL","Nicholas Morrow","LB",2017,"Huntsville","Huntsville","AL","greenville",NA,"OAK,LVR"
"Huntsville-Decatur, AL","Reggie Ragland","ILB",2017,"Bob Jones","Madison","AL","Alabama",113.301430965448,"KAN,DET"
"Huntsville-Decatur, AL","Rudy Ford","S",2017,"New Hope","New Hope","AL","Auburn",143.355234142163,"ARI,PHI"
"Huntsville-Decatur, AL","Kerryon Johnson","RB",2018,"Madison Academy","Madison","AL","Auburn",161.93745612532,"DET"
"Huntsville-Decatur, AL","Jordan Matthews","WR",2014,"Madison Academy","Madison","AL","Vanderbilt",101.263855936134,"PHI,BUF,SFO"
"Huntsville-Decatur, AL","Trey Flowers","DE",2015,"Columbia","Huntsville","AL","Arkansas",436.779719259738,"NWE,DET"
"Huntsville-Decatur, AL","Khari Blasingame","RB",2019,"Buckhorn","Huntsville","AL","Vanderbilt",99.7047162706797,"TEN"
"Huntsville-Decatur, AL","David Stewart","T",2006,"Lawrence Co.","Moulton","AL","Mississippi State",112.884767073103,"TEN"
"Huntsville-Decatur, AL","Reshard Langford","DB",2010,"Tanner","Tanner","AL","Vanderbilt",99.5883307357068,"KAN"
"Huntsville-Decatur, AL","Jordan Chunn","RB",2019,"Madison County","Gurley","AL","Troy",201.524910067428,"DAL"
"Little Rock-North Little Rock, AR","Charles Clay","TE",2011,"Little Rock Central","Little Rock","AR","Tulsa",230.287143175912,"MIA,BUF,ARI"
"Little Rock-North Little Rock, AR","David Johnson ","TE",2009,"Pine Bluff","Pine Bluff","AR","Arkansas State",133.717888423277,"PIT,SDG"
"Little Rock-North Little Rock, AR","Martrell Spaight","OLB",2015,"North Little Rock","North Little Rock","AR","Arkansas",139.325833781416,"WAS,JAX,MIA"
"Little Rock-North Little Rock, AR","Demetrius Harris","TE",2014,"Jacksonville","Jacksonville","AR","wiscmilwaukee",NA,"KAN,CLE,CHI"
"Little Rock-North Little Rock, AR","Clinton McDonald","DT",2010,"Jacksonville","Jacksonville","AR","Memphis",118.433317035641,"CIN,SEA,TAM,OAK,ARI"
"Little Rock-North Little Rock, AR","Jamaal Anderson ","DE",2007,"Parkview","Little Rock","AR","Arkansas",139.408496135414,"ATL,IND,CIN"
"Little Rock-North Little Rock, AR","Peyton Hillis","RB",2008,"Conway","Conway","AR","Arkansas",117.874898124343,"DEN,CLE,KAN,NYG"
"Little Rock-North Little Rock, AR","D.J. Williams","TE",2011,"Central Arkansas Christian","North Little Rock","AR","Arkansas",139.325833781416,"GNB,JAX,NWE,TAM"
"Little Rock-North Little Rock, AR","Joe Adams","WR",2012,"Central Arkansas Christian","North Little Rock","AR","Arkansas",139.325833781416,"CAR"
"Little Rock-North Little Rock, AR","Hunter Henry ","TE",2016,"Pulaski Academy","Little Rock","AR","Arkansas",139.408496135414,"SDG,LAC"
"Little Rock-North Little Rock, AR","Jonathan Luigs","C",2009,"Pulaski Academy","Little Rock","AR","Arkansas",139.408496135414,"CIN"
"Little Rock-North Little Rock, AR","Cedric Thornton ","DT",2012,"Star City","Star City","AR","soarkansas",NA,"PHI,DAL,BUF"
"Little Rock-North Little Rock, AR","Weston Dacus","LB",2008,"Searcy","Searcy","AR","Arkansas",147.590786231798,"KAN"
"Little Rock-North Little Rock, AR","Mitch Petrus ","G",2010,"Carlisle","Carlisle","AR","Arkansas",162.35353515782,"NYG,NWE,TEN"
"Little Rock-North Little Rock, AR","Jake Bequette","DE",2012,"Catholic","Little Rock","AR","Arkansas",139.408496135414,"NWE"
"Little Rock-North Little Rock, AR","Nate Garner","T",2009,"Pulaski Robinson","Roland","AR","Arkansas",123.422399057196,"MIA"
"Little Rock-North Little Rock, AR","Jeremy Sprinkle","TE",2017,"White Hall","White Hall","AR","Arkansas",170.400238537729,"WAS"
"Little Rock-North Little Rock, AR","Darren McFadden","RB",2008,"Pulaski Oak Grove","Little Rock","AR","Arkansas",139.408496135414,"OAK,DAL"
"Little Rock-North Little Rock, AR","Tyler Starr","OLB",2014,"Central Lyon/George","Little Rock","AR","sodakota",NA,"ATL"
"Little Rock-North Little Rock, AR","Tyrell Johnson","DB",2008,"Rison","Rison","AR","Arkansas State",155.223067047074,"MIN,DET"
"San Jose-San Francisco-Oakland, CA","Trumaine Johnson","CB",2012,"Edison","Stockton","CA","montana",NA,"STL,LAR,NYJ"
"San Jose-San Francisco-Oakland, CA","Lavelle Hawkins","WR",2008,"Edison","Stockton","CA","California",53.9444383422276,"TEN,SDG"
"San Jose-San Francisco-Oakland, CA","Chris Henry ","RB",2007,"Edison","Stockton","CA","Arizona",705.326463716983,"TEN,SEA"
"San Jose-San Francisco-Oakland, CA","Lynell Hamilton","RB",2008,"Edison","Stockton","CA","San Diego State",430.987196132011,"NOR"
"San Jose-San Francisco-Oakland, CA","Xavier Crawford","CB",2019,"Pittsburg","Pittsburg","CA","Central Michigan",1964.39316262548,"HOU,MIA,CHI"
"San Jose-San Francisco-Oakland, CA","Ra'Shon Harris","DT",2009,"Pittsburg","Pittsburg","CA","Oregon",421.459855922047,"CAR"
"San Jose-San Francisco-Oakland, CA","T.J. Carrie ","CB",2014,"De La Salle","Concord","CA","Ohio",2141.7755921358,"OAK,CLE,IND"
"San Jose-San Francisco-Oakland, CA","Austin Hooper","TE",2016,"De La Salle","Concord","CA","Stanford",37.5926452623639,"ATL,CLE"
"San Jose-San Francisco-Oakland, CA","T.J. Ward","DB",2010,"De La Salle","Concord","CA","Oregon",423.826231287557,"CLE,DEN,TAM"
"San Jose-San Francisco-Oakland, CA","Terron Ward","RB",2015,"De La Salle","Concord","CA","Oregon State",460.153810694365,"ATL"
"San Jose-San Francisco-Oakland, CA","Maurice Jones-Drew","RB",2006,"De La Salle","Concord","CA","UCLA",344.441456424161,"JAX,OAK"
"San Jose-San Francisco-Oakland, CA","Derek Landri","DT",2007,"De La Salle","Concord","CA","Notre Dame",1904.35415635054,"JAX,CAR,PHI,TAM"
"San Jose-San Francisco-Oakland, CA","Jackie Bates","DB",2010,"De La Salle","Concord","CA","hampton",NA,"KAN"
"San Jose-San Francisco-Oakland, CA","Demetrius Williams ","WR",2006,"De La Salle","Concord","CA","Oregon",423.826231287557,"BAL,CLE"
"San Jose-San Francisco-Oakland, CA","Matt Gutierrez","QB",2007,"De La Salle","Concord","CA","idahost",NA,"NWE,KAN"
"San Jose-San Francisco-Oakland, CA","Frank Summers","RB",2009,"Skyline","Oakland","CA","UNLV",409.879667374447,"PIT,BUF"
"San Jose-San Francisco-Oakland, CA","Davone Bess","WR",2008,"Skyline","Oakland","CA","Hawai'i",2406.24999418214,"MIA,CLE"
"San Jose-San Francisco-Oakland, CA","Gerris Wilkinson ","LB",2006,"Skyline","Oakland","CA","Georgia Tech",2130.20419027887,"NYG"
"Sacramento-Roseville, CA","Devontae Booker","RB",2016,"Grant Union","Sacramento","CA","Utah",532.848619392535,"DEN,LVR"
"Sacramento-Roseville, CA","Trayvon Henderson","S",2019,"Grant Union","Sacramento","CA","Hawai'i",2463.20851084634,"CIN"
"Sacramento-Roseville, CA","Shaq Thompson","OLB",2015,"Grant Union","Sacramento","CA","Washington",625.796044425867,"CAR"
"Sacramento-Roseville, CA","Christian Tupou","DT",2013,"Grant Union","Sacramento","CA","USC",361.923492345745,"CHI,CLE"
"Sacramento-Roseville, CA","Reggie Walker","LB",2009,"Grant Union","Sacramento","CA","Kansas State",1338.66318485274,"ARI,SDG"
"Sacramento-Roseville, CA","C.J. Wallace","DB",2007,"Grant Union","Sacramento","CA","Washington",625.796044425867,"SEA,SDG"
"Sacramento-Roseville, CA","Syd'Quan Thompson","DB",2010,"Grant Union","Sacramento","CA","California",64.8392100700146,"DEN"
"Sacramento-Roseville, CA","Paris Warren","WR",2006,"Grant Union","Sacramento","CA","Utah",532.848619392535,"TAM"
"San Jose-San Francisco-Oakland, CA","Lorenzo Alexander","LB",2007,"St. Mary's College","Berkeley","CA","California",0,"WAS,ARI,OAK,BUF"
"San Jose-San Francisco-Oakland, CA","Courtney Brown","DB",2007,"St. Mary's College","Berkeley","CA","calpolysanluisobispo",NA,"DAL"
"San Jose-San Francisco-Oakland, CA","Rashad Ross","WR",2014,"Vallejo","Vallejo","CA","Arizona State",662.885567049391,"CHI,WAS"
