hs_link,hs_name,hs_city,hs_state,player_name,pos,nfl_team,year_min,year_max
high_schools.cgi?id=93b98891,Woodlawn,Birmingham,AL,Cassanova McKinzy,LB,WAS,2018,2019
high_schools.cgi?id=93b98891,Woodlawn,Birmingham,AL,Karlos Dansby,LB,"ARI,MIA,CLE,CIN",2004,2017
high_schools.cgi?id=93b98891,Woodlawn,Birmingham,AL,Chris Davis ,CB,"SDG,SFO",2014,2016
high_schools.cgi?id=93b98891,Woodlawn,Birmingham,AL,Tim Harris,LB-DE,"GNB,SFO,PHI",1986,1995
high_schools.cgi?id=93b98891,Woodlawn,Birmingham,AL,Gregg Carr,LB,PIT,1985,1988
high_schools.cgi?id=93b98891,Woodlawn,Birmingham,AL,Tony Nathan,RB,MIA,1979,1987
high_schools.cgi?id=93b98891,Woodlawn,Birmingham,AL,Ricky Jones,LB-DB,"CLE,BAL",1977,1983
high_schools.cgi?id=93b98891,Woodlawn,Birmingham,AL,Fred Bohannon,DB,PIT,1982,1982
high_schools.cgi?id=93b98891,Woodlawn,Birmingham,AL,Greg Gantt,P,NYJ,1974,1975
high_schools.cgi?id=93b98891,Woodlawn,Birmingham,AL,Harry Gilmer ,QB-HB,"WAS,DET",1948,1956
high_schools.cgi?id=93b98891,Woodlawn,Birmingham,AL,Travis Tidwell,QB,NYG,1950,1951
high_schools.cgi?id=93b98891,Woodlawn,Birmingham,AL,Leon Cochran,FB,WAS,1949,1949
high_schools.cgi?id=93b98891,Woodlawn,Birmingham,AL,Jimmy Tarrant,QB,MIA,1946,1946
high_schools.cgi?id=93b98891,Woodlawn,Birmingham,AL,Bo Russell,T,WAS,1939,1940
high_schools.cgi?id=93b8ba9b,S.S. Murphy,Mobile,AL,Captain Munnerlyn,DB,"CAR,MIN",2009,2018
high_schools.cgi?id=93b8ba9b,S.S. Murphy,Mobile,AL,Solomon Patton,WR,"ARI,TAM",2014,2014
high_schools.cgi?id=93b8ba9b,S.S. Murphy,Mobile,AL,Keith McCants,DE,"TAM,HOU,ARI",1990,1995
high_schools.cgi?id=93b8ba9b,S.S. Murphy,Mobile,AL,Buddy Aydelette,T,"GNB,PIT",1980,1987
high_schools.cgi?id=93b8ba9b,S.S. Murphy,Mobile,AL,Angelo James,DB,PHI,1987,1987
high_schools.cgi?id=93b8ba9b,S.S. Murphy,Mobile,AL,Joey Jones,WR,ATL,1986,1986
high_schools.cgi?id=93b8ba9b,S.S. Murphy,Mobile,AL,Mardye McDole,WR,MIN,1981,1983
high_schools.cgi?id=93b8ba9b,S.S. Murphy,Mobile,AL,Cleo Simmons ,TE,DAL,1983,1983
high_schools.cgi?id=93b8ba9b,S.S. Murphy,Mobile,AL,Jerrel Wilson,P-RB,"KAN,NWE",1963,1978
high_schools.cgi?id=93b8ba9b,S.S. Murphy,Mobile,AL,Mickey Sutton,DB,HOU,1966,1966
high_schools.cgi?id=93b8ba9b,S.S. Murphy,Mobile,AL,Bobby Jackson,DB,"PHI,CHI",1960,1961
high_schools.cgi?id=93b8ba9b,S.S. Murphy,Mobile,AL,Billy Shipp,T,NYG,1954,1954
high_schools.cgi?id=93b8ba9b,S.S. Murphy,Mobile,AL,John Steber,G-DG,WAS,1946,1950
high_schools.cgi?id=93b88586,C.F. Vigor,Prichard,AL,Sen'Derrick Marks,DT,"TEN,JAX",2009,2016
high_schools.cgi?id=93b88586,C.F. Vigor,Prichard,AL,Ellis Lankster,DB,"BUF,NYJ",2009,2014
high_schools.cgi?id=93b88586,C.F. Vigor,Prichard,AL,Willie Anderson ,T,"CIN,BAL",1996,2008
high_schools.cgi?id=93b88586,C.F. Vigor,Prichard,AL,Marico Portis,G,TEN,2004,2004
high_schools.cgi?id=93b88586,C.F. Vigor,Prichard,AL,Terrance Simmons ,DT,CAR,2002,2002
high_schools.cgi?id=93b88586,C.F. Vigor,Prichard,AL,Albert Reese,DT,SFO,1997,1997
high_schools.cgi?id=93b88586,C.F. Vigor,Prichard,AL,Kevin Lee ,WR,"NWE,SFO",1995,1996
high_schools.cgi?id=93b88586,C.F. Vigor,Prichard,AL,Dave Windham,LB,WAS,1987,1987
high_schools.cgi?id=93b88586,C.F. Vigor,Prichard,AL,Robert Brazile ,LB,HOU,1975,1984
high_schools.cgi?id=93b88586,C.F. Vigor,Prichard,AL,Rickey Young,RB,"SDG,MIN",1975,1983
high_schools.cgi?id=93b88586,C.F. Vigor,Prichard,AL,Don Reese,DT-DE,"MIA,NOR,SDG",1974,1981
high_schools.cgi?id=93b88586,C.F. Vigor,Prichard,AL,Scott Hunter,QB,"GNB,BUF,ATL,DET",1971,1979
high_schools.cgi?id=93b88586,C.F. Vigor,Prichard,AL,Paul Crane ,LB-C,NYJ,1966,1972
high_schools.cgi?id=93b9a083,Anniston,Anniston,AL,Troymaine Pope,RB,"NYJ,SEA,LAC",2016,2020
high_schools.cgi?id=93b9a083,Anniston,Anniston,AL,Quinton Caver,LB,"PHI,KAN,DAL",2001,2005
high_schools.cgi?id=93b9a083,Anniston,Anniston,AL,Eric Davis,DB,"SFO,CAR,DEN,DET",1990,2002
high_schools.cgi?id=93b9a083,Anniston,Anniston,AL,Larry Bowie,RB,WAS,1996,1999
high_schools.cgi?id=93b9a083,Anniston,Anniston,AL,Kivuusama Mays,LB,"MIN,GNB",1998,1999
high_schools.cgi?id=93b9a083,Anniston,Anniston,AL,Orlando Watters,DB,SEA,1994,1994
high_schools.cgi?id=93b9a083,Anniston,Anniston,AL,Alan Dial,DB,PHI,1989,1989
high_schools.cgi?id=93b9a083,Anniston,Anniston,AL,Andra Franklin,RB,MIA,1981,1984
high_schools.cgi?id=93b9a083,Anniston,Anniston,AL,Ken Hutcherson,LB,"DAL,SDG",1974,1975
high_schools.cgi?id=93b9a083,Anniston,Anniston,AL,Al Greer,E,DET,1963,1963
high_schools.cgi?id=93b9a083,Anniston,Anniston,AL,Vaughn Stewart,C,"BKN,CRD",1943,1944
high_schools.cgi?id=93b9a083,Anniston,Anniston,AL,Ray Davis ,C-G-T-E,PRT,1932,1933
high_schools.cgi?id=93ba9e1a,Central,Phenix City,AL,J.D. McKissic,WR,"SEA,DET,WAS",2016,2020
high_schools.cgi?id=93ba9e1a,Central,Phenix City,AL,Cordaro Howard,T,BUF,2010,2010
high_schools.cgi?id=93ba9e1a,Central,Phenix City,AL,Triandos Luke,WR,DEN,2004,2004
high_schools.cgi?id=93ba9e1a,Central,Phenix City,AL,Reggie Lowe,DE,JAX,1998,1998
high_schools.cgi?id=93ba9e1a,Central,Phenix City,AL,Ed King,G-T,"CLE,NOR",1991,1997
