season,player,school,position
2003,Eli Manning,Ole Miss,QB
2003,Matt Mauck,LSU,QB
2003,David Greene,Georgia,RB
2003,Carnell Williams,Auburn,RB
2003,Cedric Cobbs,Arkansas,RB
2003,Shaud Williams,Alabama,RB
2003,Nick Turner,Miss. St.,RB
2003,Cedric Houston,Tennessee,WR
2003,Michael Clayton,LSU,WR
2003,Chris Collins,Ole Miss,WR
2003,Devery Henderson,LSU,WR
2003,Justin Jenkins,Miss. St.,C
2003,George Wilson,Arkansas,C
2003,Scott Wells,Tennessee,G
2003,Bill Wilkerson,LSU,G
2003,Mike Degory,Florida,G
2003,Stephen Peterman,LSU,G
2003,Monreko Crittenden,Auburn,T
2003,Travelle Wharton,South Carolina,T
2003,Justin Smiley,Alabama,T
2003,Max Jean-Gilles,Georgia,T
2003,Shawn Andrews,Arkansas,T
2003,Antonio Hall,Kentucky,TE
2003,Wesley Britt,Alabama,TE
2003,Max Starks,Florida,DE
2003,Michael Munoz,Tennessee,DE
2003,Ben Troupe,Florida,DE
2003,Ben Watson,Georgia,DE
2003,Jason Peters,Arkansas,DT
2003,David Pollack,Georgia,DT
2003,Marcus Spears,LSU,DT
2003,Antwan Odom,Alabama,DT
2003,Bobby McCray,Florida,DT
2003,Reggie Torbor,Auburn,DT
2003,Vincent Burns,Kentucky,LB
2003,Chad Lavalais,LSU,LB
2003,Jesse Mitchell,Ole Miss,LB
2003,DeMarco McNeil,Auburn,LB
2003,Jovan Haye,Vanderbilt,LB
2003,Karlos Dansby,Auburn,LB
2003,Odell Thurman,Georgia,LB
2003,Channing Crowder,Florida,LB
2003,Derrick Pope,Alabama,LB
2003,Dontarrious Thomas,Auburn,CB
2003,Caleb Miller,Arkansas,CB
2003,Kevin Simon,Tennessee,CB
2003,DeMeco Ryans,Alabama,CB
2003,Kevin Burnett,Tennessee,CB
2003,Keiwan Ratliff,Florida,S
2003,Corey Webster,LSU,S
2003,Ahmad Carroll,Arkansas,S
2003,Sean Jones,Georgia,S
2003,Thomas Davis,Georgia,K
2003,Tony Bua,Arkansas,K
2003,Gibril Wilson,Tennessee,P
2003,Rashad Baker,Tennessee,P
2003,Gus Scott,Florida,P
2003,LaRon Landry,LSU,ST
2003,Daryl Dixon,Florida,ST
2003,Muhammed Abdullah,Kentucky,ST
2003,Jonathan Nichols,Ole Miss,QB
2003,Billy Bennett,Georgia,QB
2003,Dustin Colquitt,Tennessee,RB
2003,Eric Wilbur,Florida,RB
