Position,Year,Value
QB,2020,2
RB,2020,5
WR,2020,4
C,2020,2
G,2020,4
T,2020,5
TE,2020,2
DE,2020,4
DT,2020,6
LB,2020,9
CB,2020,5
S,2020,4
K,2020,2
P,2020,3
ST,2020,3
QB,2019,2
RB,2019,4
WR,2019,5
C,2019,4
G,2019,4
T,2019,6
TE,2019,3
DE,2019,5
DT,2019,7
LB,2019,9
CB,2019,6
S,2019,6
K,2019,3
P,2019,2
ST,2019,7
QB,2018,2
RB,2018,5
WR,2018,5
C,2018,2
G,2018,5
T,2018,5
TE,2018,3
DE,2018,5
DT,2018,4
LB,2018,9
CB,2018,5
S,2018,5
K,2018,2
P,2018,3
ST,2018,3
QB,2017,2
RB,2017,4
WR,2017,4
C,2017,3
G,2017,5
T,2017,4
TE,2017,2
DE,2017,6
DT,2017,5
LB,2017,10
CB,2017,8
S,2017,3
K,2017,2
P,2017,2
ST,2017,4
QB,2016,3
RB,2016,5
WR,2016,6
C,2016,3
G,2016,7
T,2016,5
TE,2016,2
DE,2016,6
DT,2016,3
LB,2016,7
CB,2016,5
S,2016,5
K,2016,2
P,2016,2
ST,2016,4
QB,2015,2
RB,2015,4
WR,2015,7
C,2015,3
G,2015,4
T,2015,8
TE,2015,3
DE,2015,7
DT,2015,3
LB,2015,7
CB,2015,4
S,2015,4
K,2015,3
P,2015,2
ST,2015,3
QB,2014,2
RB,2014,5
WR,2014,5
C,2014,3
G,2014,5
T,2014,5
TE,2014,3
DE,2014,9
DT,2014,2
LB,2014,10
CB,2014,5
S,2014,6
K,2014,3
P,2014,3
ST,2014,3
QB,2013,3
RB,2013,5
WR,2013,5
C,2013,2
G,2013,4
T,2013,7
TE,2013,5
DE,2013,8
DT,2013,3
LB,2013,11
CB,2013,6
S,2013,5
K,2013,3
P,2013,2
ST,2013,4
QB,2012,2
RB,2012,4
WR,2012,5
C,2012,3
G,2012,5
T,2012,4
TE,2012,2
DE,2012,5
DT,2012,5
LB,2012,9
CB,2012,5
S,2012,6
K,2012,3
P,2012,2
ST,2012,3
QB,2011,2
RB,2011,6
WR,2011,5
C,2011,2
G,2011,6
T,2011,5
TE,2011,2
DE,2011,7
DT,2011,4
LB,2011,7
CB,2011,6
S,2011,5
K,2011,2
P,2011,3
ST,2011,5
QB,2010,2
RB,2010,4
WR,2010,4
C,2010,3
G,2010,4
T,2010,7
TE,2010,3
DE,2010,6
DT,2010,4
LB,2010,9
CB,2010,6
S,2010,6
K,2010,2
P,2010,3
ST,2010,3
QB,2009,2
RB,2009,5
WR,2009,6
C,2009,3
G,2009,5
T,2009,6
TE,2009,3
DE,2009,5
DT,2009,7
LB,2009,9
CB,2009,7
S,2009,3
K,2009,2
P,2009,3
ST,2009,5
QB,2008,2
RB,2008,4
WR,2008,5
C,2008,2
G,2008,4
T,2008,7
TE,2008,3
DE,2008,6
DT,2008,5
LB,2008,10
CB,2008,4
S,2008,6
K,2008,2
P,2008,4
ST,2008,4
QB,2007,2
RB,2007,5
WR,2007,5
C,2007,2
G,2007,8
T,2007,7
TE,2007,2
DE,2007,6
DT,2007,6
LB,2007,9
CB,2007,4
S,2007,9
K,2007,2
P,2007,3
ST,2007,3
QB,2006,3
RB,2006,4
WR,2006,7
C,2006,3
G,2006,4
T,2006,9
TE,2006,4
DE,2006,7
DT,2006,5
LB,2006,11
CB,2006,6
S,2006,5
K,2006,3
P,2006,2
ST,2006,4
QB,2005,3
RB,2005,5
WR,2005,5
C,2005,2
G,2005,4
T,2005,7
TE,2005,2
DE,2005,6
DT,2005,6
LB,2005,8
CB,2005,5
S,2005,6
K,2005,2
P,2005,2
ST,2005,3
QB,2004,4
RB,2004,6
WR,2004,4
C,2004,2
G,2004,7
T,2004,6
TE,2004,3
DE,2004,5
DT,2004,7
LB,2004,11
CB,2004,3
S,2004,6
K,2004,2
P,2004,2
ST,2004,2
QB,2003,3
RB,2003,5
WR,2003,5
C,2003,3
G,2003,5
T,2003,5
TE,2003,3
DE,2003,6
DT,2003,4
LB,2003,9
CB,2003,3
S,2003,9
K,2003,2
P,2003,3
ST,2003,2
