county_fips,border_county,border_county_fips
1001,"Autauga County, AL",1001
1001,"Chilton County, AL",1021
1001,"Dallas County, AL",1047
1001,"Elmore County, AL",1051
1001,"Lowndes County, AL",1085
1001,"Montgomery County, AL",1101
1003,"Baldwin County, AL",1003
1003,"Clarke County, AL",1025
1003,"Escambia County, AL",1053
1003,"Mobile County, AL",1097
1003,"Monroe County, AL",1099
1003,"Washington County, AL",1129
1003,"Escambia County, FL",12033
1005,"Barbour County, AL",1005
1005,"Bullock County, AL",1011
1005,"Dale County, AL",1045
1005,"Henry County, AL",1067
1005,"Pike County, AL",1109
1005,"Russell County, AL",1113
1005,"Clay County, GA",13061
1005,"Quitman County, GA",13239
1005,"Stewart County, GA",13259
1007,"Bibb County, AL",1007
1007,"Chilton County, AL",1021
1007,"Hale County, AL",1065
1007,"Jefferson County, AL",1073
1007,"Perry County, AL",1105
1007,"Shelby County, AL",1117
1007,"Tuscaloosa County, AL",1125
1009,"Blount County, AL",1009
1009,"Cullman County, AL",1043
1009,"Etowah County, AL",1055
1009,"Jefferson County, AL",1073
1009,"Marshall County, AL",1095
1009,"St. Clair County, AL",1115
1009,"Walker County, AL",1127
1011,"Barbour County, AL",1005
1011,"Bullock County, AL",1011
1011,"Macon County, AL",1087
1011,"Montgomery County, AL",1101
1011,"Pike County, AL",1109
1011,"Russell County, AL",1113
1013,"Butler County, AL",1013
1013,"Conecuh County, AL",1035
1013,"Covington County, AL",1039
1013,"Crenshaw County, AL",1041
1013,"Lowndes County, AL",1085
1013,"Monroe County, AL",1099
1013,"Wilcox County, AL",1131
1015,"Calhoun County, AL",1015
1015,"Cherokee County, AL",1019
1015,"Cleburne County, AL",1029
1015,"Etowah County, AL",1055
1015,"St. Clair County, AL",1115
1015,"Talladega County, AL",1121
1017,"Chambers County, AL",1017
1017,"Lee County, AL",1081
1017,"Randolph County, AL",1111
1017,"Tallapoosa County, AL",1123
1017,"Harris County, GA",13145
1017,"Troup County, GA",13285
1019,"Calhoun County, AL",1015
1019,"Cherokee County, AL",1019
1019,"Cleburne County, AL",1029
1019,"DeKalb County, AL",1049
1019,"Etowah County, AL",1055
1019,"Chattooga County, GA",13055
1019,"Floyd County, GA",13115
1019,"Polk County, GA",13233
1021,"Autauga County, AL",1001
1021,"Bibb County, AL",1007
1021,"Chilton County, AL",1021
1021,"Coosa County, AL",1037
1021,"Dallas County, AL",1047
1021,"Elmore County, AL",1051
1021,"Perry County, AL",1105
1021,"Shelby County, AL",1117
1023,"Choctaw County, AL",1023
1023,"Clarke County, AL",1025
1023,"Marengo County, AL",1091
1023,"Sumter County, AL",1119
1023,"Washington County, AL",1129
1023,"Clarke County, MS",28023
1023,"Lauderdale County, MS",28075
1023,"Wayne County, MS",28153
1025,"Baldwin County, AL",1003
1025,"Choctaw County, AL",1023
1025,"Clarke County, AL",1025
1025,"Marengo County, AL",1091
1025,"Monroe County, AL",1099
1025,"Washington County, AL",1129
1025,"Wilcox County, AL",1131
1027,"Clay County, AL",1027
1027,"Cleburne County, AL",1029
1027,"Coosa County, AL",1037
1027,"Randolph County, AL",1111
1027,"Talladega County, AL",1121
1027,"Tallapoosa County, AL",1123
1029,"Calhoun County, AL",1015
1029,"Cherokee County, AL",1019
1029,"Clay County, AL",1027
1029,"Cleburne County, AL",1029
1029,"Randolph County, AL",1111
1029,"Talladega County, AL",1121
1029,"Carroll County, GA",13045
1029,"Haralson County, GA",13143
1029,"Polk County, GA",13233
1031,"Coffee County, AL",1031
1031,"Covington County, AL",1039
1031,"Crenshaw County, AL",1041
1031,"Dale County, AL",1045
1031,"Geneva County, AL",1061
1031,"Pike County, AL",1109
1033,"Colbert County, AL",1033
1033,"Franklin County, AL",1059
1033,"Lauderdale County, AL",1077
1033,"Lawrence County, AL",1079
1033,"Tishomingo County, MS",28141
1035,"Butler County, AL",1013
1035,"Conecuh County, AL",1035
1035,"Covington County, AL",1039
1035,"Escambia County, AL",1053
1035,"Monroe County, AL",1099
1037,"Chilton County, AL",1021
1037,"Clay County, AL",1027
1037,"Coosa County, AL",1037
1037,"Elmore County, AL",1051
1037,"Shelby County, AL",1117
1037,"Talladega County, AL",1121
1037,"Tallapoosa County, AL",1123
1039,"Butler County, AL",1013
1039,"Coffee County, AL",1031
1039,"Conecuh County, AL",1035
1039,"Covington County, AL",1039
1039,"Crenshaw County, AL",1041
1039,"Escambia County, AL",1053
1039,"Geneva County, AL",1061
1039,"Okaloosa County, FL",12091
1039,"Walton County, FL",12131
1041,"Butler County, AL",1013
1041,"Coffee County, AL",1031
1041,"Covington County, AL",1039
1041,"Crenshaw County, AL",1041
1041,"Lowndes County, AL",1085
1041,"Montgomery County, AL",1101
1041,"Pike County, AL",1109
1043,"Blount County, AL",1009
1043,"Cullman County, AL",1043
1043,"Lawrence County, AL",1079
1043,"Marshall County, AL",1095
1043,"Morgan County, AL",1103
1043,"Walker County, AL",1127
1043,"Winston County, AL",1133
1045,"Barbour County, AL",1005
1045,"Coffee County, AL",1031
1045,"Dale County, AL",1045
1045,"Geneva County, AL",1061
1045,"Henry County, AL",1067
1045,"Houston County, AL",1069
1045,"Pike County, AL",1109
1047,"Autauga County, AL",1001
1047,"Chilton County, AL",1021
1047,"Dallas County, AL",1047
1047,"Lowndes County, AL",1085
1047,"Marengo County, AL",1091
1047,"Perry County, AL",1105
1047,"Wilcox County, AL",1131
1049,"Cherokee County, AL",1019
1049,"DeKalb County, AL",1049
1049,"Etowah County, AL",1055
1049,"Jackson County, AL",1071
1049,"Marshall County, AL",1095
1049,"Chattooga County, GA",13055
1049,"Dade County, GA",13083
1049,"Walker County, GA",13295
1051,"Autauga County, AL",1001
1051,"Chilton County, AL",1021
1051,"Coosa County, AL",1037
1051,"Elmore County, AL",1051
1051,"Macon County, AL",1087
1051,"Montgomery County, AL",1101
1051,"Tallapoosa County, AL",1123
1053,"Baldwin County, AL",1003
1053,"Conecuh County, AL",1035
1053,"Covington County, AL",1039
1053,"Escambia County, AL",1053
1053,"Monroe County, AL",1099
1053,"Escambia County, FL",12033
1053,"Okaloosa County, FL",12091
1053,"Santa Rosa County, FL",12113
1055,"Blount County, AL",1009
1055,"Calhoun County, AL",1015
1055,"Cherokee County, AL",1019
1055,"DeKalb County, AL",1049
1055,"Etowah County, AL",1055
1055,"Marshall County, AL",1095
1055,"St. Clair County, AL",1115
1057,"Fayette County, AL",1057
1057,"Lamar County, AL",1075
1057,"Marion County, AL",1093
1057,"Pickens County, AL",1107
1057,"Tuscaloosa County, AL",1125
1057,"Walker County, AL",1127
1059,"Colbert County, AL",1033
1059,"Franklin County, AL",1059
1059,"Lawrence County, AL",1079
1059,"Marion County, AL",1093
1059,"Winston County, AL",1133
1059,"Itawamba County, MS",28057
1059,"Tishomingo County, MS",28141
1061,"Coffee County, AL",1031
1061,"Covington County, AL",1039
1061,"Dale County, AL",1045
1061,"Geneva County, AL",1061
1061,"Houston County, AL",1069
1061,"Holmes County, FL",12059
1061,"Jackson County, FL",12063
1061,"Walton County, FL",12131
1063,"Greene County, AL",1063
1063,"Hale County, AL",1065
1063,"Marengo County, AL",1091
1063,"Pickens County, AL",1107
1063,"Sumter County, AL",1119
1063,"Tuscaloosa County, AL",1125
1065,"Bibb County, AL",1007
1065,"Greene County, AL",1063
1065,"Hale County, AL",1065
1065,"Marengo County, AL",1091
1065,"Perry County, AL",1105
1065,"Tuscaloosa County, AL",1125
1067,"Barbour County, AL",1005
1067,"Dale County, AL",1045
1067,"Henry County, AL",1067
1067,"Houston County, AL",1069
1067,"Clay County, GA",13061
1067,"Early County, GA",13099
1069,"Dale County, AL",1045
1069,"Geneva County, AL",1061
1069,"Henry County, AL",1067
1069,"Houston County, AL",1069
1069,"Jackson County, FL",12063
1069,"Early County, GA",13099
1069,"Seminole County, GA",13253
1071,"DeKalb County, AL",1049
1071,"Jackson County, AL",1071
1071,"Madison County, AL",1089
1071,"Marshall County, AL",1095
1071,"Dade County, GA",13083
1071,"Franklin County, TN",47051
1071,"Marion County, TN",47115
1073,"Bibb County, AL",1007
1073,"Blount County, AL",1009
1073,"Jefferson County, AL",1073
1073,"St. Clair County, AL",1115
1073,"Shelby County, AL",1117
1073,"Tuscaloosa County, AL",1125
1073,"Walker County, AL",1127
1075,"Fayette County, AL",1057
1075,"Lamar County, AL",1075
1075,"Marion County, AL",1093
1075,"Pickens County, AL",1107
1075,"Lowndes County, MS",28087
1075,"Monroe County, MS",28095
1077,"Colbert County, AL",1033
1077,"Lauderdale County, AL",1077
1077,"Lawrence County, AL",1079
1077,"Limestone County, AL",1083
1077,"Tishomingo County, MS",28141
1077,"Giles County, TN",47055
1077,"Hardin County, TN",47071
1077,"Lawrence County, TN",47099
1077,"Wayne County, TN",47181
1079,"Colbert County, AL",1033
1079,"Cullman County, AL",1043
1079,"Franklin County, AL",1059
1079,"Lauderdale County, AL",1077
1079,"Lawrence County, AL",1079
1079,"Limestone County, AL",1083
1079,"Morgan County, AL",1103
1079,"Winston County, AL",1133
1081,"Chambers County, AL",1017
1081,"Lee County, AL",1081
1081,"Macon County, AL",1087
1081,"Russell County, AL",1113
1081,"Tallapoosa County, AL",1123
1081,"Harris County, GA",13145
1081,"Muscogee County, GA",13215
1083,"Lauderdale County, AL",1077
1083,"Lawrence County, AL",1079
1083,"Limestone County, AL",1083
1083,"Madison County, AL",1089
1083,"Morgan County, AL",1103
1083,"Giles County, TN",47055
1083,"Lincoln County, TN",47103
1085,"Autauga County, AL",1001
1085,"Butler County, AL",1013
1085,"Crenshaw County, AL",1041
1085,"Dallas County, AL",1047
1085,"Lowndes County, AL",1085
1085,"Montgomery County, AL",1101
1085,"Wilcox County, AL",1131
1087,"Bullock County, AL",1011
1087,"Elmore County, AL",1051
1087,"Lee County, AL",1081
1087,"Macon County, AL",1087
1087,"Montgomery County, AL",1101
1087,"Russell County, AL",1113
1087,"Tallapoosa County, AL",1123
1089,"Jackson County, AL",1071
1089,"Limestone County, AL",1083
1089,"Madison County, AL",1089
1089,"Marshall County, AL",1095
