metro_area,state,county_fips1,county_fips2,county_fips3,county_fips4,county_fips5,estimate_2019,actual_2010,growth,combided_statistical_area
New York City-Newark-Jersey City,NY,36061,34013,34017,,,"19,216,182","18,897,109",1.69%,"New York-Newark, NY-NJ-CT-PA CSA"
Los Angeles-Long Beach-Anaheim,CA,6037,6059,,,,"13,214,799","12,828,837",3.01%,"Los Angeles-Long Beach, CA CSA"
Chicago-Naperville-Elgin,IL,17031,17043,17197,17089,,"9,458,539","9,461,105",?0.03%,"Chicago-Naperville, IL-IN-WI CSA"
Dallas-Fort Worth-Arlington,TX,48113,48439,,,,"7,573,136","6,366,542",18.95%,"Dallas-Fort Worth, TX-OK CSA"
Houston-The Woodlands-Sugar Land,TX,48201,48339,48157,,,"7,066,141","5,920,416",19.35%,"Houston-The Woodlands, TX CSA"
Washington-Arlington-Alexandria,DC,11001,51013,51510,,,"6,280,487","5,649,540",11.17%,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA CSA"
Miami-Fort Lauderdale-West Palm Beach,FL,12086,12011,12099,,,"6,166,488","5,564,635",10.82%,"Miami-Port St. Lucie-Fort Lauderdale, FL CSA"
Philadelphia-Camden-Wilmington,PA,42101,34007,10003,,,"6,102,434","5,965,343",2.30%,"Philadelphia-Reading-Camden, PA-NJ-DE-MD CSA"
Atlanta-Sandy Springs-Alpharetta,GA,13121,,,,,"6,020,364","5,286,728",13.88%,"Atlanta–Athens-Clarke County–Sandy Springs, GA-AL CSA"
Phoenix-Mesa-Chandler,AZ,4013,,,,,"4,948,203","4,192,887",18.01%,"Phoenix-Mesa, AZ CSA"
Boston-Cambridge-Newton,MA,25025,25017,,,,"4,873,019","4,552,402",7.04%,"Boston-Worcester-Providence, MA-RI-NH-CT CSA"
San Francisco-Oakland-Berkeley,CA,6075,6001,,,,"4,731,803","4,335,391",9.14%,"San Jose-San Francisco-Oakland, CA CSA"
Riverside-San Bernardino-Ontario,CA,6065,6071,,,,"4,650,631","4,224,851",10.08%,"Los Angeles-Long Beach, CA CSA"
Detroit–Warren–Dearborn,MI,26163,26099,,,,"4,319,629","4,296,250",0.54%,"Detroit-Warren-Ann Arbor, MI CSA"
Seattle-Tacoma-Bellevue,WA,53033,53053,,,,"3,979,845","3,439,809",15.70%,"Seattle-Tacoma, WA CSA"
Minneapolis-St. Paul-Bloomington,MN,27053,27123,,,,"3,654,908","3,346,859",9.20%,"Minneapolis-St. Paul, MN-WI CSA"
San Diego-Chula Vista-Carlsbad,CA,6073,,,,,"3,338,330","3,095,313",7.85%,
Tampa-St. Petersburg-Clearwater,FL,12057,12103,,,,"3,194,831","2,783,243",14.79%,
Denver-Aurora-Lakewood,CO,8031,8005,8059,,,"2,967,239","2,543,482",16.66%,"Denver-Aurora, CO CSA"
St. Louis,MO,29510,,,,,"2,803,228","2,787,701",0.56%,"St. Louis-St. Charles-Farmington, MO-IL CSA"
Baltimore-Columbia-Towson,MD,24510,24027,24005,,,"2,800,053","2,710,489",3.30%,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA CSA"
Charlotte-Concord-Gastonia,NC,37119,37025,37071,,,"2,636,883","2,243,960",17.51%,"Charlotte-Concord, NC-SC CSA"
Orlando-Kissimmee-Sanford,FL,12095,12097,12117,,,"2,608,147","2,134,411",22.20%,"Orlando-Lakeland-Deltona, FL CSA"
San Antonio-New Braunfels,TX,48029,48091,,,,"2,550,960","2,142,508",19.06%,
Portland-Vancouver-Hillsboro,OR,41051,53011,41067,,,"2,492,412","2,226,009",11.97%,"Portland-Vancouver-Salem, OR-WA CSA"
Sacramento-Roseville-Folsom,CA,6067,6061,,,,"2,363,730","2,149,127",9.99%,"Sacramento-Roseville, CA CSA"
Pittsburgh,PA,42003,,,,,"2,317,600","2,356,285",?1.64%,"Pittsburgh-New Castle-Weirton, PA-OH-WV CSA"
Las Vegas-Henderson-Paradise,NV,32003,,,,,"2,266,715","1,951,269",16.17%,"Las Vegas-Henderson, NV-AZ CSA"
Austin-Round Rock-Georgetown,TX,48453,48491,,,,"2,227,083","1,716,289",29.76%,
Cincinnati,OH,39061,,,,,"2,221,208","2,137,667",3.91%,"Cincinnati-Wilmington-Maysville, OH-KY-IN CSA"
Kansas City,MO,29095,,,,,"2,157,990","2,009,342",7.40%,"Kansas City-Overland Park-Kansas City, MO-KS CSA"
Columbus,OH,39049,,,,,"2,122,271","1,901,974",11.58%,"Columbus-Marion-Zanesville, OH CSA"
Indianapolis-Carmel-Anderson,IN,18097,18057,18095,,,"2,074,537","1,887,877",9.89%,"Indianapolis-Carmel-Muncie, IN CSA"
Cleveland-Elyria,OH,39035,39093,,,,"2,048,449","2,077,240",?1.39%,"Cleveland-Akron-Canton, OH CSA"
San Jose-Sunnyvale-Santa Clara,CA,6085,,,,,"1,990,660","1,836,911",8.37%,"San Jose-San Francisco-Oakland, CA CSA"
Nashville-Davidson–Murfreesboro–Franklin,TN,47037,47149,47187,,,"1,934,317","1,646,200",17.50%,"Nashville-Davidson–Murfreesboro, TN CSA"
Virginia Beach-Norfolk-Newport News,VA,51810,51710,51700,,,"1,768,901","1,713,954",3.21%,"Virginia Beach-Norfolk, VA-NC CSA"
Providence-Warwick,RI,44007,44003,,,,"1,624,578","1,600,852",1.48%,"Boston-Worcester-Providence, MA-RI-NH-CT CSA"
Milwaukee-Waukesha,WI,55079,55133,,,,"1,575,179","1,555,908",1.24%,"Milwaukee-Racine-Waukesha, WI CSA"
Jacksonville,FL,12031,,,,,"1,559,514","1,345,596",15.90%,"Jacksonville-St. Marys-Palatka, FL-GA CSA"
Oklahoma City,OK,40109,,,,,"1,408,950","1,252,987",12.45%,"Oklahoma City-Shawnee, OK CSA"
Raleigh-Cary,NC,37183,37037,,,,"1,390,785","1,130,490",23.02%,"Raleigh-Durham-Cary, NC CSA"
Memphis,TN,47157,,,,,"1,346,045","1,316,100",2.28%,"Memphis-Forrest City, TN-MS-AR CSA"
Richmond,VA,51760,,,,,"1,291,900","1,186,501",8.88%,
New Orleans-Metairie,LA,22071,22051,,,,"1,270,530","1,189,866",6.78%,"New Orleans-Metairie-Hammond, LA-MS CSA"
