pfr_school,merge_school,d1,fcs,fbs,p5,g5
abilenechristian,,1,1,0,0,0
adamsst,,0,0,0,0,0
airforce,Air Force,1,0,1,0,1
akron,Akron,1,0,1,0,1
alabama,Alabama,1,0,1,1,0
alabamaam,,1,1,0,0,0
alabamast,,1,1,0,0,0
alabirmingham,UAB,1,0,1,0,1
albany,,1,1,0,0,0
albany(ny),,1,1,0,0,0
albanystate(ga),,0,0,0,0,0
albion,,0,0,0,0,0
albright,,0,0,0,0,0
alcornst,,1,1,0,0,0
alfred,,0,0,0,0,0
allegheny,,0,0,0,0,0
allen,,0,0,0,0,0
allentowncollege,,0,0,0,0,0
alma,,0,0,0,0,0
americancollegeofphysicaleducation,,0,0,0,0,0
americanint,,0,0,0,0,0
amherst,,0,0,0,0,0
anderson(in),,0,0,0,0,0
angelostate(tx),,0,0,0,0,0
antelopevalleyjc,,0,0,0,0,0
appalachianst,Appalachian State,1,0,1,0,1
apprentice,,0,0,0,0,0
arizona,Arizona,1,0,1,1,0
arizonast,Arizona State,1,0,1,1,0
arkansas,Arkansas,1,0,1,1,0
arkansasst,Arkansas State,1,0,1,0,1
arkansastech,,0,0,0,0,0
arkmonticello,,0,0,0,0,0
arkpinebluff,,1,1,0,0,0
army,Army,1,0,1,0,1
arnold,,0,0,0,0,0
ashland,,0,0,0,0,0
assumption,,0,0,0,0,0
auburn,Auburn,1,0,1,1,0
augsburg,,0,0,0,0,0
augustana(il),,0,0,0,0,0
augustana(sd),,0,0,0,0,0
augustastate(ga),,0,0,0,0,0
austin,,0,0,0,0,0
austinpeayst,,1,1,0,0,0
azusapacific,,0,0,0,0,0
baker,,0,0,0,0,0
bakersfieldjc,,0,0,0,0,0
baldwinwallace,,0,0,0,0,0
ballst,Ball State,1,0,1,0,1
bates,,0,0,0,0,0
baylor,Baylor,1,0,1,1,0
beloit,,0,0,0,0,0
bemidjist,,0,0,0,0,0
benedictine,,0,0,0,0,0
bentley,,0,0,0,0,0
bethany(ks),,0,0,0,0,0
bethany(wv),,0,0,0,0,0
bethunecookman,,1,1,0,0,0
birminghamsouthern,,0,0,0,0,0
bishop,,0,0,0,0,0
blinncoll(tx),,0,0,0,0,0
bliss,,0,0,0,0,0
bloomsburg,,0,0,0,0,0
bluffton,,0,0,0,0,0
boisest,Boise State,1,0,1,0,1
bostoncol,Boston College,1,0,1,1,0
bostonuniv,,0,0,0,0,0
bowiest,,0,0,0,0,0
bowlinggreen,Bowling Green,1,0,1,0,1
bradley,,0,0,0,0,0
brandeis,,0,0,0,0,0
bridgeport,,0,0,0,0,0
britishcolumbia,,0,0,0,0,0
brockportst,,0,0,0,0,0
brooklyn,,0,0,0,0,0
brown,,1,1,0,0,0
bucknell,,1,1,0,0,0
buenavista,,0,0,0,0,0
buffalo,Buffalo,1,0,1,0,1
butler,,1,1,0,0,0
buttejc(ca),,0,0,0,0,0
byu,BYU,1,0,1,0,1
california,California,1,0,1,1,0
california(pa),,0,0,0,0,0
californiadavis,,1,1,0,0,0
californiairvine,,0,0,0,0,0
californialutheran,,0,0,0,0,0
californiariverside,,0,0,0,0,0
californiasantabarbara,,0,0,0,0,0
californiawestern,,0,0,0,0,0
calpolypomona,,0,0,0,0,0
calpolysanluisobispo,,1,1,0,0,0
calstatebakersfield,,0,0,0,0,0
calstatechico,,0,0,0,0,0
calstatefullerton,,0,0,0,0,0
calstatehayward,,0,0,0,0,0
calstatenorthridge,,0,0,0,0,0
cameron,,0,0,0,0,0
campion,,0,0,0,0,0
canisius,,0,0,0,0,0
carleton,,0,0,0,0,0
carlisleindian,,0,0,0,0,0
carnegiemellon,,0,0,0,0,0
carroll(mt),,0,0,0,0,0
carroll(wi),,0,0,0,0,0
carsonnewman,,0,0,0,0,0
carthage,,0,0,0,0,0
casewesternreserve,,0,0,0,0,0
catawba,,0,0,0,0,0
catholic,,0,0,0,0,0
ccny,,0,0,0,0,0
ccsanfrancisco,,0,0,0,0,0
centenary,,0,0,0,0,0
centflacc,,0,0,0,0,0
centralarkansas,,1,1,0,0,0
centralcoll(ia),,0,0,0,0,0
centralconnecticutst,,1,1,0,0,0
centralflorida,UCF,1,0,1,0,1
centralmichigan,Central Michigan,1,0,1,0,1
centralmissourist,,0,0,0,0,0
centraloklahoma,,0,0,0,0,0
centralstate(oh),,0,0,0,0,0
centralwashington,,0,0,0,0,0
centre,,0,0,0,0,0
chadronst,,0,0,0,0,0
chapman,,0,0,0,0,0
charleston(wv),,0,0,0,0,0
charlestonso,,1,1,0,0,0
charlotte,Charlotte,1,0,1,0,1
cheyney,,0,0,0,0,0
chicago,,0,0,0,0,0
chowan,,0,0,0,0,0
cincinnati,Cincinnati,1,0,1,0,1
clarion,,0,0,0,0,0
clark(ga),,0,0,0,0,0
