Rk,Year,Lg,Rnd,Pick,Tm,Player,Pos,
1,2019,NFL,2,45,NWE,Joejuan Williams\WillJo13,CB,College Stats
2,2019,NFL,6,183,SFO,Justin Skule\SkulJu00,T,College Stats
3,2018,NFL,3,88,GNB,Oren Burks\BurkOr00,ILB,College Stats
4,2017,NFL,2,57,HOU,Zach Cunningham\CunnZa00,LB,College Stats
5,2017,NFL,5,157,ARI,Will Holden\HoldWi00,T,College Stats
6,2016,NFL,7,227,MIN,Stephen Weatherly\WeatSt00,OLB,College Stats
7,2014,NFL,2,42,PHI,Jordan Matthews\MattJo00,WR,College Stats
8,2014,NFL,5,173,PIT,Wesley Johnson\JohnWe00,OL,College Stats
9,2014,NFL,7,216,HOU,Andre Hal\HalxAn00,DB,College Stats
10,2013,NFL,5,160,STL,Zac Stacy\StacZa00,RB,College Stats
11,2013,NFL,7,220,SEA,Ryan Seymour\SeymRy00,G,
12,2012,NFL,2,62,GNB,Casey Hayward\HaywCa00,DB,College Stats
13,2012,NFL,7,214,IND,Tim Fugger\FuggTi00,DE,College Stats
14,2010,NFL,3,67,TAM,Myron Lewis\LewiMy99,DB,College Stats
15,2010,NFL,7,208,NWE,Thomas Welch\WelcTh20,T,College Stats
16,2009,NFL,4,119,CHI,D.J. Moore\MoorDJ99,DB,College Stats
17,2008,NFL,1,14,CHI,Chris Williams\WillCh03,T,
18,2008,NFL,3,70,CHI,Earl Bennett\BennEa00,WR,College Stats
19,2008,NFL,5,165,NYG,Jonathan Goff\GoffJo99,LB,College Stats
20,2006,NFL,1,11,DEN,Jay Cutler\CutlJa00,QB,College Stats
21,2005,NFL,6,189,CAR,Jovan Haye\HayeJo20,DE,College Stats
22,2005,NFL,6,197,BUF,Justin Geisinger\GeisJu20,G,
23,2003,NFL,5,166,GNB,Hunter Hillenmeyer\HillHu20,LB,College Stats
24,2001,NFL,2,47,SFO,Jamie Winborn\WinbJa20,LB,
25,2001,NFL,4,102,ATL,Matt Stewart\StewMa21,LB,College Stats
26,2001,NFL,5,160,NYG,John Markham,K,
27,2001,NFL,6,196,BUF,Jimmy Williams\WillJi22,DB,College Stats
28,1999,NFL,2,47,GNB,Fred Vinson\VinsFr20,DB,College Stats
29,1998,NFL,2,33,ARI,Corey Chavous\ChavCo00,DB,College Stats
30,1998,NFL,3,84,TAM,Jamie Duncan\DuncJa20,LB,College Stats
31,1998,NFL,5,135,IND,Antony Jordan\JordAn20,LB,
32,1996,NFL,2,45,MIN,James Manley\ManlJa21,DT,College Stats
33,1992,NFL,3,77,HOU,Corey Harris\HarrCo20,DB,College Stats
34,1990,NFL,4,98,NOR,DeMond Winston\WinsDe20,LB,
35,1990,NFL,12,312,SEA,John Gromos,QB,
36,1988,NFL,5,120,PHO,Chris Gaines\GainCh20,LB,College Stats
37,1988,NFL,12,307,CIN,Carl Parker\ParkCa20,WR,College Stats
38,1986,NFL,1,20,BUF,Will Wolford\WolfWi00,T,College Stats
39,1986,NFL,8,203,SFO,Jim Popp,TE,
40,1986,NFL,12,309,IND,Steve Wade,DT,
41,1985,NFL,2,50,RAM,Chuck Scott\ScotCh22,WR,College Stats
42,1985,NFL,8,212,STL,Rob Monaco\MonaRo20,C,College Stats
43,1985,NFL,11,298,STL,Ricky Anderson,K,
44,1985,NFL,12,324,DAL,Karl Jordan,LB,
45,1984,NFL,1,8,IND,Leonard Coleman\ColeLe21,DB,
46,1984,NFL,3*,69,NOR,Steve Bearden,LB,
47,1983,NFL,5,119,KAN,Jim Arnold\ArnoJi20,P,College Stats
48,1983,NFL,12,322,ATL,Allama Matthews\MattAl00,TE,College Stats
49,1982,NFL,6,143,DAL,Ken Hammond,G,
50,1982,NFL,8,204,CLE,Van Heflin,TE,
51,1980,NFL,6,160,NWE,Preston Brown\BrowPr20,WR,College Stats
52,1980,NFL,9,233,NOR,Frank Mordica,RB,
53,1980,NFL,12,308,CIN,Mike Wright,QB,
54,1979,NFL,10,270,NWE,Martin Cox,WR,
55,1979,NFL,12,322,PIT,Ed Smith\SmitEd23,LB,
56,1978,NFL,4,92,PHI,Dennis Harrison\HarrDe02,DE,
57,1976,NFL,7,194,SFO,Jay Chesley,DB,
58,1976,NFL,7,209,PIT,Barry Burton,TE,
59,1976,NFL,17,471,NYG,Steve Curnutte,DB,
60,1975,NFL,14,346,KAN,Gene Moshier,G,
61,1974,NFL,5,118,CLE,Mark Ilgenfritz\IlgeMa20,DE,
62,1974,NFL,5,129,BAL,Doug Nettles\NettDo20,DB,
63,1973,NFL,7,172,NYG,Rod Freeman,TE,
64,1973,NFL,10,245,WAS,Ken Stone\StonKe20,DB,
65,1973,NFL,15,387,OAK,Dave Leffers,C,
66,1971,NFL,8,192,CHI,Karl Weiss,T,
67,1970,NFL,2,27,DAL,Bob Asher\AsheBo20,T,
