"metro_area","state","county_fips1","county_fips2","county_fips3","county_fips4","county_fips5","estimate_2019","actual_2010","growth","combided_statistical_area","V1","V2","V3","V4","V5","V6"
"New York City-Newark-Jersey City","NY","36061","34013","34017",NA,NA,"19,216,182","18,897,109","1.69%","New York-Newark, NY-NJ-CT-PA CSA",NA,NA,NA,NA,NA,NA
"Los Angeles-Long Beach-Anaheim","CA","06037","06059",NA,NA,NA,"13,214,799","12,828,837","3.01%","Los Angeles-Long Beach, CA CSA",62,68,NA,NA,NA,NA
"Chicago-Naperville-Elgin","IL","17031","17043","17197","17089",NA,"9,458,539","9,461,105","?0.03%","Chicago-Naperville, IL-IN-WI CSA",271,NA,NA,NA,NA,NA
"Dallas-Fort Worth-Arlington","TX","48113","48439",NA,NA,NA,"7,573,136","6,366,542","18.95%","Dallas-Fort Worth, TX-OK CSA",NA,NA,NA,NA,NA,NA
"Houston-The Woodlands-Sugar Land","TX","48201","48339","48157",NA,NA,"7,066,141","5,920,416","19.35%","Houston-The Woodlands, TX CSA",NA,NA,NA,NA,NA,NA
"Washington-Arlington-Alexandria","DC","11001","51013","51510",NA,NA,"6,280,487","5,649,540","11.17%","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA CSA",NA,NA,NA,NA,NA,NA
"Miami-Fort Lauderdale-West Palm Beach","FL","12086","12011","12099",NA,NA,"6,166,488","5,564,635","10.82%","Miami-Port St. Lucie-Fort Lauderdale, FL CSA",142,NA,NA,NA,NA,NA
"Philadelphia-Camden-Wilmington","PA","42101","34007","10003",NA,NA,"6,102,434","5,965,343","2.30%","Philadelphia-Reading-Camden, PA-NJ-DE-MD CSA",NA,NA,NA,NA,NA,NA
"Atlanta-Sandy Springs-Alpharetta","GA","13121",NA,NA,NA,NA,"6,020,364","5,286,728","13.88%","Atlanta–Athens-Clarke County–Sandy Springs, GA-AL CSA",NA,NA,NA,NA,NA,NA
"Phoenix-Mesa-Chandler","AZ","04013",NA,NA,NA,NA,"4,948,203","4,192,887","18.01%","Phoenix-Mesa, AZ CSA",53,196,211,NA,NA,NA
"Boston-Cambridge-Newton","MA","25025","25017",NA,NA,NA,"4,873,019","4,552,402","7.04%","Boston-Worcester-Providence, MA-RI-NH-CT CSA",NA,NA,NA,NA,NA,NA
"San Francisco-Oakland-Berkeley","CA","06075","06001",NA,NA,NA,"4,731,803","4,335,391","9.14%","San Jose-San Francisco-Oakland, CA CSA",NA,NA,NA,NA,NA,NA
"Riverside-San Bernardino-Ontario","CA","06065","06071",NA,NA,NA,"4,650,631","4,224,851","10.08%","Los Angeles-Long Beach, CA CSA",17,234,NA,NA,NA,NA
"Detroit–Warren–Dearborn","MI","26163","26099",NA,NA,NA,"4,319,629","4,296,250","0.54%","Detroit-Warren-Ann Arbor, MI CSA",147,279,NA,NA,NA,NA
"Seattle-Tacoma-Bellevue","WA","53033","53053",NA,NA,NA,"3,979,845","3,439,809","15.70%","Seattle-Tacoma, WA CSA",180,191,330,NA,NA,NA
"Minneapolis-St. Paul-Bloomington","MN","27053","27123",NA,NA,NA,"3,654,908","3,346,859","9.20%","Minneapolis-St. Paul, MN-WI CSA",223,NA,NA,NA,NA,NA
"San Diego-Chula Vista-Carlsbad","CA","06073",NA,NA,NA,NA,"3,338,330","3,095,313","7.85%","",13,234,NA,NA,NA,NA
"Tampa-St. Petersburg-Clearwater","FL","12057","12103",NA,NA,NA,"3,194,831","2,783,243","14.79%","",81,NA,NA,NA,NA,NA
"Denver-Aurora-Lakewood","CO","08031","08005","08059",NA,NA,"2,967,239","2,543,482","16.66%","Denver-Aurora, CO CSA",NA,NA,NA,NA,NA,NA
"St. Louis","MO","29510",NA,NA,NA,NA,"2,803,228","2,787,701","0.56%","St. Louis-St. Charles-Farmington, MO-IL CSA",NA,NA,NA,NA,NA,NA
"Baltimore-Columbia-Towson","MD","24510","24027","24005",NA,NA,"2,800,053","2,710,489","3.30%","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA CSA",NA,NA,NA,NA,NA,NA
"Charlotte-Concord-Gastonia","NC","37119","37025","37071",NA,NA,"2,636,883","2,243,960","17.51%","Charlotte-Concord, NC-SC CSA",NA,NA,NA,NA,NA,NA
"Orlando-Kissimmee-Sanford","FL","12095","12097","12117",NA,NA,"2,608,147","2,134,411","22.20%","Orlando-Lakeland-Deltona, FL CSA",81,88,96,NA,NA,NA
"San Antonio-New Braunfels","TX","48029","48091",NA,NA,NA,"2,550,960","2,142,508","19.06%","",NA,NA,NA,NA,NA,NA
"Portland-Vancouver-Hillsboro","OR","41051","53011","41067",NA,NA,"2,492,412","2,226,009","11.97%","Portland-Vancouver-Salem, OR-WA CSA",NA,NA,NA,NA,NA,NA
