hs_link,hs_name,hs_city,hs_state,player_link,player_name,pos,nfl_team,year_min,year_max
high_schools.cgi?id=93b98891,Woodlawn,Birmingham,AL,/players/M/McKiCa01.htm,Cassanova McKinzy,LB,WAS,2018,2019
high_schools.cgi?id=93b98891,Woodlawn,Birmingham,AL,/players/D/DansKa20.htm,Karlos Dansby,LB,"ARI,MIA,CLE,CIN",2004,2017
high_schools.cgi?id=93b98891,Woodlawn,Birmingham,AL,/players/D/DaviCh05.htm,Chris Davis ,CB,"SDG,SFO",2014,2016
<<<<<<< HEAD
=======
high_schools.cgi?id=93b98891,Woodlawn,Birmingham,AL,/players/H/HarrTi00.htm,Tim Harris,LB-DE,"GNB,SFO,PHI",1986,1995
>>>>>>> 4a13267da55e4c864cc1f1a45f74b2b15d98ed1e
high_schools.cgi?id=93b98891,Woodlawn,Birmingham,AL,/players/C/CarrGr20.htm,Gregg Carr,LB,PIT,1985,1988
high_schools.cgi?id=93b98891,Woodlawn,Birmingham,AL,/players/N/NathTo00.htm,Tony Nathan,RB,MIA,1979,1987
high_schools.cgi?id=93b98891,Woodlawn,Birmingham,AL,/players/J/JoneRi21.htm,Ricky Jones,LB-DB,"CLE,BAL",1977,1983
high_schools.cgi?id=93b98891,Woodlawn,Birmingham,AL,/players/B/BohaFr20.htm,Fred Bohannon,DB,PIT,1982,1982
high_schools.cgi?id=93b98891,Woodlawn,Birmingham,AL,/players/G/GantGr20.htm,Greg Gantt,P,NYJ,1974,1975
high_schools.cgi?id=93b98891,Woodlawn,Birmingham,AL,/players/G/GilmHa00.htm,Harry Gilmer ,QB-HB,"WAS,DET",1948,1956
high_schools.cgi?id=93b98891,Woodlawn,Birmingham,AL,/players/T/TidwTr20.htm,Travis Tidwell,QB,NYG,1950,1951
high_schools.cgi?id=93b98891,Woodlawn,Birmingham,AL,/players/C/CochLe20.htm,Leon Cochran,FB,WAS,1949,1949
high_schools.cgi?id=93b98891,Woodlawn,Birmingham,AL,/players/T/TarrJi21.htm,Jimmy Tarrant,QB,MIA,1946,1946
high_schools.cgi?id=93b98891,Woodlawn,Birmingham,AL,/players/R/RussBo20.htm,Bo Russell,T,WAS,1939,1940
high_schools.cgi?id=93b8ba9b,S.S. Murphy,Mobile,AL,/players/M/MunnCa99.htm,Captain Munnerlyn,DB,"CAR,MIN",2009,2018
high_schools.cgi?id=93b8ba9b,S.S. Murphy,Mobile,AL,/players/P/PattSo01.htm,Solomon Patton,WR,"ARI,TAM",2014,2014
high_schools.cgi?id=93b8ba9b,S.S. Murphy,Mobile,AL,/players/M/McCaKe21.htm,Keith McCants,DE,"TAM,HOU,ARI",1990,1995
high_schools.cgi?id=93b8ba9b,S.S. Murphy,Mobile,AL,/players/A/AydeBu20.htm,Buddy Aydelette,T,"GNB,PIT",1980,1987
high_schools.cgi?id=93b8ba9b,S.S. Murphy,Mobile,AL,/players/J/JameAn20.htm,Angelo James,DB,PHI,1987,1987
high_schools.cgi?id=93b8ba9b,S.S. Murphy,Mobile,AL,/players/J/JoneJo23.htm,Joey Jones,WR,ATL,1986,1986
high_schools.cgi?id=93b8ba9b,S.S. Murphy,Mobile,AL,/players/M/McDoMa20.htm,Mardye McDole,WR,MIN,1981,1983
high_schools.cgi?id=93b8ba9b,S.S. Murphy,Mobile,AL,/players/S/SimmCl20.htm,Cleo Simmons ,TE,DAL,1983,1983
high_schools.cgi?id=93b8ba9b,S.S. Murphy,Mobile,AL,/players/W/WilsJe20.htm,Jerrel Wilson,P-RB,"KAN,NWE",1963,1978
high_schools.cgi?id=93b8ba9b,S.S. Murphy,Mobile,AL,/players/S/SuttMi20.htm,Mickey Sutton,DB,HOU,1966,1966
high_schools.cgi?id=93b8ba9b,S.S. Murphy,Mobile,AL,/players/J/JackBo22.htm,Bobby Jackson,DB,"PHI,CHI",1960,1961
high_schools.cgi?id=93b8ba9b,S.S. Murphy,Mobile,AL,/players/S/ShipBi20.htm,Billy Shipp,T,NYG,1954,1954
high_schools.cgi?id=93b8ba9b,S.S. Murphy,Mobile,AL,/players/S/StebJo20.htm,John Steber,G-DG,WAS,1946,1950
high_schools.cgi?id=93b88586,C.F. Vigor,Prichard,AL,/players/M/MarkSe99.htm,Sen'Derrick Marks,DT,"TEN,JAX",2009,2016
