Year,Name,Pos,Snaps O,Total Snaps O,Pct O
2014,Steven Scheu,TE,736,773,0.952
2014,Macklin Weaver,TE,11,773,0.014
2014,Davis Dudchock,TE,231,773,0.299
2014,Dillon van der Wal,TE,22,773,0.028
2014,Spencer Pulley,G,773,773,1.000
2014,Joe Townsend,C,770,773,0.996
2014,C.J. Duncan,WR,408,773,0.528
2014,Jake Bernstein,G,689,773,0.891
2014,Latevius Rayford,WR,437,773,0.565
2014,Will Holden,T,569,773,0.736
2014,Andrew Jelks,T,643,773,0.832
2014,Kris Kentera,WR,171,773,0.221
2014,Andrew Bridges,T,346,773,0.448
2014,Josh Grady,WR,19,773,0.025
2014,Barrett Gouger,C,3,773,0.004
2014,Johnny McCrary,QB,329,773,0.426
2014,Jerron Seymour,HB,72,773,0.093
2014,Blake Fromang,TE,3,773,0.004
2014,Chandler Dorrell,WR,161,773,0.208
2014,Delando Crooks,G,87,773,0.113
2014,Dallas Rivers,HB,152,773,0.197
2014,Trent Sherfield,WR,31,773,0.040
2014,Kellen Williams,FB,175,773,0.226
2014,Jordan Cunningham,WR,60,773,0.078
2014,DeAndre Woods,WR,6,773,0.008
2014,Sean Dowling,T,25,773,0.032
2014,Darrius Sims,CB,10,773,0.013
2014,Caleb Scott,WR,163,773,0.211
2014,Nathan Marcus,TE,204,773,0.264
2014,Ralph Webb,HB,544,773,0.704
2014,Trey Wilkins,WR,207,773,0.268
2014,Patton Robinette,QB,166,773,0.215
2014,Wade Freebeck,QB,155,773,0.201
2014,Brian Kimbrow,HB,1,773,0.001
2014,Stephen Rivers,QB,123,773,0.159
2015,Spencer Pulley,C,879,890,0.988
2015,Jake Bernstein,G,862,890,0.969
2015,Delando Crooks,G,76,890,0.085
2015,Will Holden,T,872,890,0.980
2015,Bruno Reagan,G,209,890,0.235
2015,Trent Sherfield,WR,724,890,0.813
2015,DeAndre Woods,TE,81,890,0.091
2015,Barrett Gouger,G,664,890,0.746
2015,Blake Fromang,T,457,890,0.513
2015,Kyle Anderton,TE,16,890,0.018
2015,Dallas Rivers,HB,221,890,0.248
2015,Darrius Sims,WR,159,890,0.179
2015,Sean Dowling,TE,141,890,0.158
2015,Bailey Granier,T,225,890,0.253
2015,Ralph Webb,HB,657,890,0.738
2015,Chandler Dorrell,WR,37,890,0.042
2015,Trey Ellis,WR,38,890,0.043
2015,Steven Scheu,TE,648,890,0.728
2015,C.J. Duncan,WR,1,890,0.001
2015,Nathan Marcus,TE,206,890,0.231
2015,Jared Pinkney,WR,3,890,0.003
2015,Kyle Shurmur,QB,262,890,0.294
2015,Caleb Scott,WR,510,890,0.573
2015,Cole Hardin,C,12,890,0.013
2015,Latevius Rayford,WR,395,890,0.444
2015,Sam Dobbs,TE,52,890,0.058
2015,Ladarius Banks,FB,85,890,0.096
