Pos,Player,,AP1,PB,St,CarAV,Ht,Wt,Yrs,,NFL Draft (tm/rnd/yr),AFL Draft (tm/rnd/yr)
FB,Sam Agee\AgeeSa20,,0,0,0,0,1-Jun,218,2,1938-1939,,
P,Jim Arnold\ArnoJi20,College Stats,1,2,0,22,2-Jun,215,12,1983-1994,Kansas City Chiefs / 5th / 119th pick / 1983,
T-G,Bob Asher\AsheBo20,,0,0,3,18,5-Jun,250,5,1970-1975,Dallas Cowboys / 2nd / 27th pick / 1970,
TE,Brandon Barden\BardBr00,College Stats,0,0,0,0,5-Jun,240,2,2012-2014,,
DB,Ainsley Battles\BattAi20,,0,0,0,12,11-May,204,4,2000-2004,,
WR,Earl Bennett\BennEa00,College Stats,0,0,1,19,1-Jun,205,6,2008-2013,Chicago Bears / 3rd / 70th pick / 2008,
RB,Khari Blasingame\BlasKh00,College Stats,0,0,0,0,Jun-00,233,2,2019-2020,,
E,Lynn Bomar\BomaLy20,College Stats,0,0,2,0,1-Jun,210,2,1925-1926,,
WR,Chris Boyd\BoydCh00,College Stats,0,0,0,0,4-Jun,206,1,2014-2014,,
WR,Preston Brown\BrowPr20,College Stats,0,0,0,2,10-May,184,4,1980-1984,New England Patriots / 6th / 160th pick / 1980,
LB,Tim Bryant\BryaTi20,,0,0,0,0,1-Jun,217,1,1987-1987,,
LB,Marcus Buggs\BuggMa20,College Stats,0,0,0,1,10-May,223,2,2008-2009,,
ILB,Oren Burks\BurkOr00,College Stats,0,0,0,5,3-Jun,233,3,2018-2020,Green Bay Packers / 3rd / 88th pick / 2018,
DT,Adam Butler\ButlAd00,College Stats,0,0,1,14,5-Jun,300,4,2017-2020,,
G,Charlie Carman\CarmCh20,,0,0,1,0,10-May,215,2,1920-1921,,
DB,Corey Chavous\ChavCo00,College Stats,0,1,8,42,1-Jun,204,11,1998-2008,Arizona Cardinals / 2nd / 33rd pick / 1998,
DB,Leonard Coleman\ColeLe21,,0,0,1,8,2-Jun,203,5,1985-1989,Indianapolis Colts / 1st / 8th pick / 1984,
LB,Gerald Collins\CollGe21,,0,0,0,0,2-Jun,250,1,1995-1995,,
G,Ken Cooper\CoopKe20,,0,0,1,0,1-Jun,205,2,1949-1950,Chicago Cardinals / 10th / 115th pick / 1951 Green Bay Packers / 15th / 143rd pick / 1949,
OLB,Zach Cunningham\CunnZa00,College Stats,0,0,4,27,3-Jun,238,4,2017-2020,Houston Texans / 2nd / 57th pick / 2017,
QB,Jay Cutler\CutlJa00,College Stats,0,1,10,87,3-Jun,231,12,2006-2017,Denver Broncos / 1st / 11th pick / 2006,
